"","Grid.ID","Grid.Type","Visit.ID","Ord.Date","Year","Observer.ID","Mean.MAS","n.Points","Count","n.Observers","Observer.Year","Observer.Experience","Imputed","Mean.Birds"
"1","ID-B03","R","Y1-V1",171,"Y1","Austin",157.6875,16,0,1,"Austin Y1",1,FALSE,3.8125
"2","ID-B03","R","Y1-V2",181,"Y1","Ruger",154,16,0,1,"Ruger Y1",2,FALSE,5.4375
"3","ID-B03","R","Y2-V1",149,"Y2","Thea",185.3125,16,1,1,"Thea Y2",2,FALSE,7.5
"4","ID-B03","R","Y2-V2",165,"Y2","Devin",146.5625,16,0,1,"Devin Y2",1,FALSE,6.8125
"5","ID-B03","R","Y3-V1",141,"Y3","Thomas",115.4375,16,0,1,"Thomas Y3",1,FALSE,5.5625
"6","ID-B03","R","Y3-V2",158,"Y3","Ben",103.1875,16,0,1,"Ben Y3",1,FALSE,11.25
"7","ID-B04","B","Y1-V1",178,"Y1","Ruger",152.375,16,10,1,"Ruger Y1",2,FALSE,4.625
"8","ID-B04","B","Y1-V2",190,"Y1","Rory",167.8125,16,10,1,"Rory Y1",2,FALSE,7.125
"9","ID-B04","B","Y2-V1",158,"Y2","Thea",173.1875,16,17,1,"Thea Y2",2,FALSE,7.3125
"10","ID-B04","B","Y2-V2",171,"Y2","Thea",164.6875,16,10,1,"Thea Y2",2,FALSE,4.6875
"11","ID-B04","B","Y3-V1",143,"Y3","Ben",103.6875,16,14,1,"Ben Y3",1,FALSE,12.75
"12","ID-B04","B","Y3-V2",155,"Y3","Ben",111.375,16,26,1,"Ben Y3",1,FALSE,13.6875
"13","ID-B07","B","Y1-V1",171,"Y1","Eliza",217.9375,16,13,1,"Eliza Y1",1,FALSE,3.875
"14","ID-B07","B","Y1-V2",177,"Y1","Keramie",184.1875,16,7,1,"Keramie Y1",1,FALSE,3.5625
"15","ID-B07","B","Y2-V1",156,"Y2","Keramie",195.25,8,8,1,"Keramie Y2",1,FALSE,2.75
"16","ID-B07","B","Y2-V2",165,"Y2","Will",80.4375,16,27,1,"Will Y2",2,FALSE,6.4375
"17","ID-B07","B","Y3-V1",140,"Y3","Ben",150.6875,16,37,1,"Ben Y3",1,FALSE,5.625
"18","ID-B07","B","Y3-V2",154,"Y3","Aidan",123.5,16,42,1,"Aidan Y3",1,FALSE,5.8125
"19","ID-B09","B","Y1-V1",163,"Y1","Austin",171.125,16,15,1,"Austin Y1",1,FALSE,2.875
"20","ID-B09","B","Y1-V2",170,"Y1","Ruger",227.25,16,15,1,"Ruger Y1",2,FALSE,3.375
"21","ID-B09","B","Y2-V1",151,"Y2","Keramie",218.3125,16,12,1,"Keramie Y2",1,FALSE,4.7
"22","ID-B09","B","Y2-V2",173,"Y2","Will",81.8888888888889,9,12,1,"Will Y2",2,FALSE,9
